SCHOOL_YEAR,STATENAME,STAFF,STAFF_COUNT,STUDENT_COUNT,STUDENT_TO_STAFF_RATIO
2019-2020,ALASKA,Guidance Counselors,304.99,132017.0,432.9
2019-2020,ALABAMA,Guidance Counselors,1756.72,744235.0,423.7
2019-2020,ARKANSAS,Guidance Counselors,1351.33,496927.0,367.7
2019-2020,ARIZONA,Guidance Counselors,1359.49,1152586.0,847.8
2019-2020,CALIFORNIA,Guidance Counselors,10254.16,6163001.0,601.0
2019-2020,COLORADO,Guidance Counselors,3097.74,913223.0,294.8
2019-2020,CONNECTICUT,Guidance Counselors,1448.77,523690.0,361.5
2019-2020,DISTRICT OF COLUMBIA,Guidance Counselors,235.27,95271.0,404.9
2019-2020,DELAWARE,Guidance Counselors,360.0,139930.0,388.7
2019-2020,FLORIDA,Guidance Counselors,6371.1,2858461.0,448.7
2019-2020,GEORGIA,Guidance Counselors,4093.5,1769657.0,432.3
2019-2020,HAWAII,Guidance Counselors,660.4,181088.0,274.2
2019-2020,IOWA,Guidance Counselors,1347.16,517324.0,384.0
2019-2020,IDAHO,Guidance Counselors,598.3,311096.0,520.0
2019-2020,ILLINOIS,Guidance Counselors,3281.49,1943117.0,592.1
2019-2020,INDIANA,Guidance Counselors,2165.02,1051411.0,485.6
2019-2020,KANSAS,Guidance Counselors,1188.9,497963.0,418.8
2019-2020,KENTUCKY,Guidance Counselors,1729.1,691996.0,400.2
2019-2020,LOUISIANA,Guidance Counselors,1622.6,710439.0,437.8
2019-2020,MASSACHUSETTS,Guidance Counselors,2462.84,959394.0,389.5
2019-2020,MARYLAND,Guidance Counselors,2553.92,909404.0,356.1
2019-2020,MAINE,Guidance Counselors,583.2,180291.0,309.1
2019-2020,MICHIGAN,Guidance Counselors,2230.84,1495925.0,670.6
2019-2020,MINNESOTA,Guidance Counselors,1418.72,893203.0,629.6
2019-2020,MISSOURI,Guidance Counselors,2706.32,910466.0,336.4
2019-2020,MISSISSIPPI,Guidance Counselors,1103.62,466002.0,422.2
2019-2020,MONTANA,Guidance Counselors,494.46,149917.0,303.2
2019-2020,NORTH CAROLINA,Guidance Counselors,4474.38,1560350.0,348.7
2019-2020,NORTH DAKOTA,Guidance Counselors,385.95,116185.0,301.0
2019-2020,NEBRASKA,Guidance Counselors,887.07,330018.0,372.0
2019-2020,NEW HAMPSHIRE,Guidance Counselors,827.5,177351.0,214.3
2019-2020,NEW JERSEY,Guidance Counselors,4057.74,1411917.0,348.0
2019-2020,NEW MEXICO,Guidance Counselors,701.85,331206.0,471.9
2019-2020,NEVADA,Guidance Counselors,1041.0,500855.0,481.1
2019-2020,NEW YORK,Guidance Counselors,7465.04,2692589.0,360.7
2019-2020,OHIO,Guidance Counselors,4133.97,1689867.0,408.8
2019-2020,OKLAHOMA,Guidance Counselors,1714.18,703719.0,410.5
2019-2020,OREGON,Guidance Counselors,1359.89,610649.0,449.0
2019-2020,PENNSYLVANIA,Guidance Counselors,4817.21,1732449.0,359.6
2019-2020,RHODE ISLAND,Guidance Counselors,347.87,143557.0,412.7
2019-2020,SOUTH CAROLINA,Guidance Counselors,2269.6,786879.0,346.7
2019-2020,SOUTH DAKOTA,Guidance Counselors,379.73,139949.0,368.5
2019-2020,TENNESSEE,Guidance Counselors,3367.9,1014744.0,301.3
2019-2020,TEXAS,Guidance Counselors,13345.15,5495398.0,411.8
2019-2020,UTAH,Guidance Counselors,1251.46,684694.0,547.1
2019-2020,VIRGINIA,Guidance Counselors,3866.94,1297012.0,335.4
2019-2020,VERMONT,Guidance Counselors,430.97,87125.0,202.2
2019-2020,WASHINGTON,Guidance Counselors,2453.71,1142073.0,465.4
2019-2020,WISCONSIN,Guidance Counselors,2122.39,855400.0,403.0
2019-2020,WEST VIRGINIA,Guidance Counselors,763.34,263486.0,345.2
2019-2020,WYOMING,Guidance Counselors,294.57,94616.0,321.2
